Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,0.820000,0.870000,0.810000,0.850000,0.850000,18630000
2010-01-05,0.850000,0.880000,0.820000,0.830000,0.830000,18340000
2010-01-06,0.840000,1.020000,0.840000,1.010000,1.010000,169340000
2010-01-07,1.030000,1.210000,1.020000,1.200000,1.200000,207550000
2010-01-08,1.170000,1.200000,1.150000,1.190000,1.190000,73424000
2010-01-11,1.210000,1.460000,1.160000,1.390000,1.390000,177892000
2010-01-12,1.400000,1.500000,1.320000,1.360000,1.360000,79114000
2010-01-13,1.320000,1.420000,1.300000,1.370000,1.370000,41110000
2010-01-14,1.410000,1.460000,1.350000,1.380000,1.380000,40885006
2010-01-15,1.400000,1.430000,1.340000,1.360000,1.360000,32922000
2010-01-18,1.360000,1.600000,1.320000,1.570000,1.570000,107152000
2010-01-19,1.620000,1.740000,1.570000,1.590000,1.590000,128428000
2010-01-20,1.600000,1.720000,1.580000,1.700000,1.700000,51172000
2010-01-21,1.700000,1.780000,1.640000,1.660000,1.660000,74826000
2010-01-22,1.590000,1.680000,1.520000,1.660000,1.660000,45838000
2010-01-25,1.650000,1.710000,1.620000,1.670000,1.670000,25017000
2010-01-26,1.690000,1.700000,1.380000,1.400000,1.400000,39384000
2010-01-27,1.380000,1.550000,1.370000,1.410000,1.410000,47882000
2010-01-28,1.450000,1.500000,1.420000,1.440000,1.440000,16314000
2010-01-29,1.420000,1.450000,1.380000,1.410000,1.410000,18778769
2010-02-01,1.410000,1.420000,1.100000,1.180000,1.180000,89730000
2010-02-02,1.210000,1.260000,1.120000,1.140000,1.140000,33954000
2010-02-03,1.170000,1.370000,1.140000,1.340000,1.340000,90960000
2010-02-04,1.330000,1.490000,1.310000,1.390000,1.390000,77606000
2010-02-05,1.290000,1.360000,1.280000,1.310000,1.310000,25908000
2010-02-08,1.340000,1.430000,1.340000,1.430000,1.430000,33494000
2010-02-09,1.410000,1.450000,1.370000,1.420000,1.420000,27760000
2010-02-10,1.420000,1.450000,1.390000,1.440000,1.440000,20990000
2010-02-11,1.450000,1.520000,1.440000,1.460000,1.460000,28074000
2010-02-12,1.490000,1.500000,1.350000,1.360000,1.360000,24962000
2010-02-17,1.360000,1.420000,1.350000,1.360000,1.360000,9350000
2010-02-18,1.370000,1.380000,1.290000,1.300000,1.300000,12790000
2010-02-19,1.290000,1.300000,1.230000,1.270000,1.270000,13680000
2010-02-22,1.300000,1.350000,1.280000,1.320000,1.320000,19742000
2010-02-23,1.300000,1.310000,1.250000,1.280000,1.280000,20848000
2010-02-24,1.280000,1.470000,1.250000,1.470000,1.470000,74602000
2010-02-25,1.490000,1.530000,1.410000,1.420000,1.420000,43722000
2010-02-26,1.430000,1.460000,1.400000,1.430000,1.430000,14440000
2010-03-01,1.440000,1.530000,1.410000,1.470000,1.470000,25834000
2010-03-02,1.490000,1.490000,1.440000,1.460000,1.460000,10540000
2010-03-03,1.470000,1.700000,1.460000,1.650000,1.650000,111330000
2010-03-04,1.660000,1.730000,1.610000,1.710000,1.710000,55940000
2010-03-05,1.730000,1.850000,1.720000,1.800000,1.800000,97890000
2010-03-08,1.800000,1.860000,1.630000,1.680000,1.680000,61592000
2010-03-09,1.680000,1.740000,1.660000,1.700000,1.700000,17128000
2010-03-10,1.710000,1.830000,1.710000,1.740000,1.740000,44012000
2010-03-11,1.750000,1.770000,1.650000,1.710000,1.710000,36304000
2010-03-12,1.710000,1.750000,1.690000,1.710000,1.710000,11660000
2010-03-15,1.710000,1.720000,1.670000,1.680000,1.680000,9690000
2010-03-16,1.700000,1.700000,1.620000,1.630000,1.630000,14599000
2010-03-17,1.650000,1.870000,1.630000,1.850000,1.850000,49458000
2010-03-18,1.860000,1.880000,1.760000,1.780000,1.780000,35276000
2010-03-19,1.800000,1.830000,1.740000,1.800000,1.800000,16350000
2010-03-22,1.810000,1.810000,1.760000,1.790000,1.790000,10180000
2010-03-23,1.820000,1.910000,1.750000,1.770000,1.770000,82426000
2010-03-24,1.810000,1.820000,1.700000,1.730000,1.730000,24882000
2010-03-25,1.730000,1.730000,1.650000,1.730000,1.730000,26520000
2010-03-26,1.730000,1.780000,1.700000,1.720000,1.720000,12782000
2010-03-29,1.730000,1.800000,1.710000,1.730000,1.730000,23870000
2010-03-30,1.730000,1.760000,1.720000,1.740000,1.740000,12510000
2010-03-31,1.740000,1.800000,1.720000,1.750000,1.750000,28388000
2010-04-01,1.750000,1.800000,1.750000,1.770000,1.770000,15028000
2010-04-07,1.790000,1.860000,1.780000,1.830000,1.830000,34334000
