Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,4.008246,4.094548,3.989068,4.037013,1.949298,220367397
2010-01-05,4.046603,4.161672,4.037013,4.142494,2.000230,348092919
2010-01-06,4.142494,4.209617,4.104137,4.161672,2.009490,398522092
2010-01-07,4.190439,4.190439,4.075370,4.094548,1.977079,234379471
2010-01-08,4.094548,4.142494,4.056192,4.104137,1.981709,298858544
2010-01-11,4.161672,4.180850,4.027424,4.065781,1.963189,361358916
2010-01-12,4.037013,4.056192,3.950711,3.969890,1.916887,358415321
2010-01-13,3.893177,3.902766,3.806875,3.826053,1.847434,698077169
2010-01-14,3.835642,3.893177,3.768518,3.787697,1.828914,519017146
2010-01-15,3.768518,3.749340,3.816464,3.854820,1.861325,429716333
2010-01-18,3.768518,3.835642,3.749340,3.768518,1.819653,399695603
2010-01-19,3.787697,3.921944,3.768518,3.921944,1.893736,402586360
2010-01-20,3.864410,3.873999,3.749340,3.787697,1.828914,539612269
2010-01-21,3.778108,3.787697,3.691806,3.710984,1.791873,576318471
2010-01-22,3.682217,3.749340,3.595915,3.730162,1.801133,682499377
2010-01-25,3.691806,3.710984,3.605504,3.653449,1.764091,628860691
2010-01-26,3.672627,3.672627,3.480845,3.528791,1.703899,569341467
2010-01-27,3.586325,3.595915,3.480845,3.519202,1.699270,432179748
2010-01-28,3.567147,3.643860,3.538380,3.643860,1.759461,370574121
2010-01-29,3.557558,3.624682,3.547969,3.595915,1.736311,329314624
2010-02-01,3.557558,3.634271,3.519202,3.605504,1.740941,358832765
2010-02-02,3.672627,3.672627,3.567147,3.595915,1.736311,300620545
2010-02-03,3.643860,3.720573,3.605504,3.682217,1.777982,290969854
2010-02-04,3.624682,3.682217,3.605504,3.643860,1.759461,253232809
2010-02-05,3.528791,3.557558,3.480845,3.490434,1.685379,444015821
2010-02-08,3.519202,3.519202,3.413722,3.423311,1.652968,324404546
2010-02-09,3.452078,3.547969,3.442489,3.538380,1.708529,221201592
2010-02-10,3.567147,3.605504,3.490434,3.586325,1.731680,259353900
2010-02-11,3.643860,3.691806,3.624682,3.672627,1.773351,271972346
2010-02-12,3.672627,3.720573,3.643860,3.653449,1.764091,189142589
2010-02-17,3.739751,3.758929,3.691806,3.720573,1.796503,192245024
2010-02-18,3.730162,3.730162,3.653449,3.663038,1.768721,115596690
2010-02-19,3.605504,3.624682,3.528791,3.557558,1.717790,253753457
2010-02-22,3.643860,3.663038,3.624682,3.653449,1.764091,168408333
2010-02-23,3.605504,3.730162,3.586325,3.701395,1.787242,273475071
2010-02-24,3.663038,3.691806,3.624682,3.653449,1.764091,248024294
2010-02-25,3.624682,3.663038,3.528791,3.576736,1.727050,522186528
2010-02-26,3.615093,3.624682,3.586325,3.615093,1.745571,237442765
2010-03-01,3.672627,3.758929,3.672627,3.758929,1.815023,475368140
2010-03-02,3.883588,3.883588,3.816464,3.854820,1.861325,550525409
2010-03-03,3.873999,3.893177,3.826053,3.864410,1.865955,345017506
2010-03-04,3.902766,3.902766,3.730162,3.730162,1.801133,406569369
2010-03-05,3.778108,3.816464,3.730162,3.768518,1.819653,678729158
2010-03-08,3.816464,3.902766,3.816464,3.864410,1.865955,431534995
2010-03-09,3.864410,3.864410,3.826053,3.845231,1.856694,278703248
2010-03-10,3.883588,3.883588,3.816464,3.864410,1.865955,278442719
2010-03-11,3.873999,3.873999,3.778108,3.806875,1.838174,248302982
