Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,38.250000,38.650002,37.750000,38.099998,29.705639,28528384
2010-01-05,38.650002,39.200001,38.200001,39.099998,30.485315,41873879
2010-01-06,39.200001,39.599998,38.799999,39.349998,30.680233,42712432
2010-01-07,39.049999,39.099998,38.299999,38.500000,30.017509,47957824
2010-01-08,38.599998,38.849998,38.150002,38.349998,29.900555,38687678
2010-01-11,39.000000,39.250000,37.900002,38.150002,29.744621,45849450
2010-01-12,37.849998,38.799999,37.700001,38.150002,29.744621,40808288
2010-01-13,37.549999,37.900002,37.049999,37.150002,28.964951,64462181
2010-01-14,37.200001,37.599998,36.849998,36.900002,28.770025,51437833
2010-01-15,36.900002,36.500000,36.750000,37.250000,29.042912,81441120
2010-01-18,36.400002,37.000000,36.099998,36.700001,28.614090,30664676
2010-01-19,36.299999,37.049999,36.299999,37.049999,28.886980,29559454
2010-01-20,37.099998,37.099998,36.200001,36.500000,28.458155,39386238
2010-01-21,36.250000,36.849998,35.849998,35.950001,28.029331,47631058
2010-01-22,35.299999,35.900002,34.750000,35.750000,27.873405,74399900
2010-01-25,35.099998,35.400002,35.000000,35.250000,27.483562,52057536
2010-01-26,35.000000,35.200001,33.700001,33.849998,26.392019,79040541
2010-01-27,33.900002,34.250000,33.500000,33.849998,26.392019,57638897
2010-01-28,34.099998,34.599998,33.900002,34.150002,26.625919,39627901
2010-01-29,33.599998,34.900002,33.599998,34.650002,27.015757,72175870
2010-02-01,34.200001,34.849998,33.900002,34.799999,27.132704,49332525
2010-02-02,35.000000,35.250000,34.099998,34.299999,26.742872,44856725
2010-02-03,34.750000,35.049999,34.000000,34.750000,27.093721,60102513
2010-02-04,34.250000,34.450001,34.000000,34.150002,26.625919,47069810
2010-02-05,33.000000,33.599998,33.000000,33.049999,25.768274,61676027
2010-02-08,32.849998,33.150002,32.400002,32.599998,25.417419,47945551
2010-02-09,32.400002,33.150002,32.250000,32.799999,25.573357,42520800
2010-02-10,32.950001,33.599998,32.799999,33.299999,25.963192,39668479
2010-02-11,33.750000,34.200001,33.700001,34.049999,26.547949,36702405
2010-02-12,34.250000,34.750000,34.000000,34.250000,26.703890,41160888
2010-02-17,34.799999,35.000000,34.400002,34.700001,27.054739,28002617
2010-02-18,34.650002,34.950001,34.400002,34.650002,27.015757,22429308
2010-02-19,34.400002,34.400002,33.650002,33.799999,26.353031,33838530
2010-02-22,34.700001,34.950001,34.500000,34.700001,27.054739,30444189
