Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,10.280000,10.320000,10.140000,10.240000,8.008018,10178907
2010-01-05,10.460000,10.460000,10.180000,10.300000,8.054940,17105326
2010-01-06,10.300000,10.460000,10.140000,10.400000,8.133143,33664757
2010-01-07,10.560000,10.560000,10.220000,10.280000,8.039301,21445005
2010-01-08,10.300000,10.380000,10.020000,10.080000,7.882895,55686340
2010-01-11,10.200000,10.360000,10.000000,10.100000,7.898533,33288545
2010-01-12,10.240000,10.400000,10.040000,10.240000,8.008018,39607350
2010-01-13,10.100000,10.260000,9.890000,9.950000,7.781228,54929627
2010-01-14,9.960000,10.280000,9.960000,10.040000,7.851612,74356960
2010-01-15,10.000000,10.060000,9.730000,9.830000,7.687386,101518304
2010-01-18,9.650000,9.700000,9.390000,9.390000,7.343291,56590572
2010-01-19,9.410000,9.480000,9.110000,9.340000,7.304189,52696014
2010-01-20,9.340000,9.550000,9.320000,9.400000,7.351111,60621224
2010-01-21,9.470000,9.650000,9.370000,9.440000,7.382392,69316081
2010-01-22,9.140000,9.340000,9.080000,9.290000,7.265088,38991550
2010-01-25,9.230000,9.300000,9.110000,9.210000,7.202525,23761774
2010-01-26,9.110000,9.180000,8.800000,8.830000,6.905354,39875548
2010-01-27,8.930000,9.070000,8.540000,8.640000,6.756766,66406953
2010-01-28,8.710000,8.780000,8.620000,8.670000,6.780227,37465689
2010-01-29,8.460000,8.830000,8.460000,8.790000,6.874070,42093557
2010-02-01,8.690000,8.690000,8.390000,8.540000,6.678562,56551468
2010-02-02,8.600000,8.660000,8.510000,8.650000,6.764587,29485629
2010-02-03,8.700000,8.970000,8.550000,8.930000,6.983555,29131390
2010-02-04,8.800000,8.850000,8.500000,8.600000,6.725484,38244976
2010-02-05,8.350000,8.450000,8.260000,8.310000,6.498695,36351528
2010-02-08,8.210000,8.480000,8.110000,8.390000,6.561257,25599243
2010-02-09,8.300000,8.590000,8.300000,8.490000,6.639461,31771990
2010-02-10,8.590000,8.590000,8.430000,8.500000,6.647280,26352634
2010-02-11,8.620000,9.000000,8.590000,8.930000,6.983555,35119603
2010-02-12,8.890000,8.980000,8.830000,8.900000,6.960093,22640832
2010-02-17,9.160000,9.180000,8.980000,8.990000,7.030478,20185784
2010-02-18,8.880000,8.890000,8.780000,8.870000,6.936633,16361768
2010-02-19,8.840000,8.840000,8.500000,8.530000,6.670742,25606307
2010-02-22,8.740000,8.870000,8.680000,8.730000,6.827149,19219301
2010-02-23,8.560000,8.780000,8.430000,8.720000,6.819328,34099354
2010-02-24,8.520000,8.810000,8.520000,8.610000,6.733304,24774891
2010-02-25,8.680000,8.780000,8.590000,8.650000,6.764587,22313628
2010-02-26,8.900000,9.360000,8.900000,9.310000,7.280728,74977992
2010-03-01,9.840000,9.840000,9.730000,9.830000,7.687386,102903983
2010-03-02,9.850000,9.960000,9.830000,9.890000,7.734306,55493470
2010-03-03,9.720000,9.810000,9.670000,9.710000,7.593542,46075885
2010-03-04,9.710000,9.880000,9.710000,9.710000,7.593542,48374197
2010-03-05,9.760000,9.780000,9.400000,9.710000,7.593542,70337808
2010-03-08,9.710000,9.780000,9.510000,9.610000,7.515338,38202277
2010-03-09,9.550000,9.580000,9.370000,9.480000,7.413673,28771559
2010-03-10,9.520000,9.600000,9.460000,9.520000,7.444955,15784490
2010-03-11,9.560000,9.600000,9.380000,9.530000,7.452775,19552144
2010-03-12,9.470000,9.500000,9.370000,9.440000,7.382392,21790635
2010-03-15,9.370000,9.400000,9.260000,9.300000,7.272909,17598444
2010-03-16,9.420000,9.430000,9.200000,9.280000,7.257267,17358779
2010-03-17,9.400000,9.520000,9.360000,9.490000,7.421494,23431770
2010-03-18,9.580000,9.580000,9.440000,9.490000,7.421494,18701661
2010-03-19,9.410000,9.460000,9.320000,9.370000,7.327651,28273764
2010-03-22,9.270000,9.270000,9.080000,9.200000,7.194705,32080156
2010-03-23,9.210000,9.410000,9.210000,9.360000,7.319829,38145869
2010-03-24,9.470000,9.480000,9.160000,9.220000,7.210346,26600894
2010-03-25,8.920000,8.970000,8.780000,8.840000,6.913173,60924286
2010-03-26,8.560000,8.950000,8.560000,8.800000,6.881891,60627334
2010-03-29,8.670000,9.000000,8.620000,8.890000,6.952274,43070104
2010-03-30,8.850000,8.960000,8.770000,8.840000,6.913173,37555193
2010-03-31,8.700000,8.780000,8.630000,8.740000,6.834969,58847267
2010-04-01,8.780000,8.920000,8.760000,8.840000,6.913173,47079352
2010-04-07,8.800000,8.950000,8.800000,8.910000,6.967914,56781780
2010-04-08,8.830000,9.180000,8.830000,9.010000,7.046118,38353001
2010-04-09,9.120000,9.380000,9.100000,9.330000,7.296369,69740767
2010-04-12,9.400000,9.420000,9.160000,9.180000,7.179064,45902433
2010-04-13,9.090000,9.370000,9.060000,9.160000,7.163423,37218553
2010-04-14,9.320000,9.320000,9.100000,9.140000,7.147784,29496420
2010-04-15,9.140000,9.170000,8.900000,8.930000,6.983555,44458001
2010-04-16,8.970000,9.440000,8.910000,9.320000,7.288548,136963763
2010-04-19,9.130000,9.320000,9.010000,9.080000,7.100860,50692194
2010-04-20,9.160000,9.420000,9.140000,9.380000,7.335471,64725004
2010-04-21,9.580000,9.590000,9.330000,9.490000,7.421494,41559290
2010-04-22,9.420000,9.430000,9.290000,9.330000,7.296369,36212500
2010-04-23,9.340000,9.360000,9.170000,9.190000,7.186885,26374494
2010-04-26,9.250000,9.320000,9.150000,9.240000,7.225986,25328700
2010-04-27,9.300000,9.670000,9.240000,9.530000,7.452775,61993619
2010-04-28,9.260000,9.750000,9.250000,9.650000,7.546619,64019386
2010-04-29,9.700000,9.720000,9.260000,9.340000,7.304189,36930685
2010-04-30,9.500000,9.820000,9.480000,9.820000,7.679565,67869601
