Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,29.994093,30.122381,29.840143,30.071066,20.138544,1064646
2010-01-05,30.532907,30.789488,29.942776,30.686855,20.550932,3868068
2010-01-06,30.686855,30.840801,29.917118,30.276327,20.276001,5931544
2010-01-07,30.276327,30.507250,29.429619,29.814486,19.966711,3622066
2010-01-08,29.403959,30.712513,29.403959,30.404617,20.361919,5282948
2010-01-11,30.173697,30.892118,30.173697,30.763828,20.602480,5070501
2010-01-12,30.378960,31.046066,30.378960,30.892118,20.688402,4789093
2010-01-13,30.225014,30.225014,28.634222,28.890802,19.348118,16495416
2010-01-14,28.890802,29.096066,28.531591,28.531591,19.107563,6734275
2010-01-15,28.275011,28.890802,28.172380,28.788170,19.279388,7877178
2010-01-18,28.198038,28.531591,27.915800,28.326328,18.970097,10270158
2010-01-19,28.223696,28.634222,27.838827,28.480274,19.073193,13272552
2010-01-20,28.223696,28.634222,27.710539,27.761854,18.592070,8453979
2010-01-21,27.043432,27.197380,26.581591,26.632906,17.836010,19975924
2010-01-22,26.401985,26.581591,25.657906,26.273695,17.595446,7864486
2010-01-25,25.786196,26.812511,25.786196,26.761194,17.921928,4393762
2010-01-26,26.684221,26.735537,25.914484,26.350670,17.647001,4599730
2010-01-27,26.684221,26.684221,26.145407,26.196720,17.543900,3587746
2010-01-28,26.658564,26.684221,25.606590,25.657906,17.183056,8442894
2010-01-29,25.042116,25.632248,25.042116,25.221722,16.890944,5741263
2010-02-01,25.503958,25.965799,25.093431,25.914484,17.354885,6193841
2010-02-02,25.657906,26.299353,25.657906,26.119747,17.492352,5190474
2010-02-03,26.119747,26.504616,25.940142,26.427643,17.698545,9969354
2010-02-04,26.094090,26.094090,25.144747,25.324352,16.959679,9570732
2010-02-05,24.246721,24.631590,24.246721,24.400667,16.341085,10641396
2010-02-08,24.195404,24.375010,23.528299,23.810535,15.945879,9308668
2010-02-09,23.964483,24.528957,23.938826,24.375010,16.323904,9561653
2010-02-10,24.734221,24.734221,23.887510,24.451984,16.375450,7952995
2010-02-11,24.451984,25.401325,24.451984,25.298695,16.942490,9423362
2010-02-12,26.222380,26.376328,25.760536,25.965799,17.389252,15318496
2010-02-17,26.632906,26.889484,26.068432,26.401985,17.681362,6465026
2010-02-18,26.427643,26.427643,25.760536,26.042774,17.440798,3360371
2010-02-19,25.555273,25.786196,24.862511,24.939484,16.701927,13545029
2010-02-22,25.863169,25.863169,25.401325,25.734879,17.234608,7019150
2010-02-23,26.171064,26.889484,25.760536,26.812511,17.956293,9771496
2010-02-24,26.607248,27.351328,26.427643,26.761194,17.921928,6816557
2010-02-25,26.632906,27.120405,26.299353,26.555931,17.784458,5772766
2010-02-26,27.094748,27.171722,26.684221,26.915142,18.025024,5972817
2010-03-01,27.607906,27.992775,27.428301,27.915800,18.695166,8772728
2010-03-02,27.607906,27.967117,27.607906,27.838827,18.643616,3480619
2010-03-03,27.890142,27.967117,27.223038,27.248695,18.248409,3693921
2010-03-04,27.736197,27.864485,27.069090,27.120405,18.162489,5031392
2010-03-05,27.453959,27.761854,27.223038,27.684879,18.540518,6352913
2010-03-08,28.095406,28.172380,27.967117,28.121063,18.832632,3830823
2010-03-09,28.146723,28.198038,27.915800,27.967117,18.729530,4966747
2010-03-10,27.967117,28.095406,27.453959,27.684879,18.540518,4314007
2010-03-11,27.890142,27.967117,27.223038,27.325668,18.299955,3577378
2010-03-12,27.607906,28.069750,27.505276,28.069750,18.798260,3732038
2010-03-15,28.018433,28.172380,27.736197,28.095406,18.815447,2520938
2010-03-16,28.223696,28.326328,28.069750,28.146723,18.849817,5239159
2010-03-17,28.275011,28.890802,28.242683,28.788170,19.279388,7955105
2010-03-18,29.096066,29.634880,28.916458,29.044748,19.451216,13104960
2010-03-19,28.634222,29.403959,28.531591,28.916458,19.365305,7355958
2010-03-22,28.480274,28.480274,28.018433,28.069750,18.798260,7278922
2010-03-23,28.069750,28.275011,27.710539,27.761854,18.592070,7994837
2010-03-24,28.121063,28.249353,27.992775,28.121063,18.832632,5829135
2010-03-25,27.864485,28.198038,27.838827,28.044090,18.781084,6179116
