Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,25.414251,26.775730,25.414251,25.958843,23.995598,1427146
2010-01-05,25.913460,26.458052,25.550400,25.595781,23.659994,5485150
2010-01-06,24.869661,25.051191,24.052774,24.143539,22.317587,12274418
2010-01-07,24.597364,25.051191,24.461218,24.778896,22.904890,7548665
2010-01-08,25.051191,25.187340,24.370453,25.051191,23.156593,4364016
2010-01-11,25.051191,25.232721,24.506599,24.688129,22.820984,2470960
2010-01-12,24.778896,24.778896,24.143539,24.188923,22.359537,4331910
2010-01-13,24.143539,24.188923,23.417418,23.508183,21.730280,3760528
2010-01-14,23.508183,24.052774,22.963593,23.099739,21.352726,5241098
2010-01-15,23.326653,23.462799,22.600531,22.963593,21.226879,5015046
2010-01-18,22.691296,23.598948,22.645914,22.645914,20.933222,2588423
2010-01-19,22.782061,23.145123,22.237471,23.145123,21.394680,2941983
2010-01-20,23.417418,23.417418,22.419001,22.872828,21.142977,4389864
2010-01-21,22.419001,22.918209,22.419001,22.645914,20.933222,4861576
2010-01-22,22.192087,22.237471,20.422167,22.101322,20.429819,12888189
2010-01-25,21.783644,22.192087,21.375200,22.146706,20.471771,3698400
2010-01-26,22.146706,22.691296,21.738262,21.919792,20.262018,8067686
2010-01-27,22.555147,22.691296,21.329819,21.465965,19.842512,4211252
2010-01-28,21.783644,22.600531,21.647497,22.373617,20.681517,5509632
2010-01-29,22.055941,22.282852,21.102905,21.511349,19.884464,10391306
2010-02-01,21.511349,21.511349,20.603697,21.239054,19.632763,3564339
2010-02-02,21.556730,22.600531,21.284435,22.464382,20.765421,4678768
2010-02-03,22.691296,23.281269,22.419001,23.190504,21.436628,5881041
2010-02-04,23.326653,23.417418,22.192087,22.192087,20.513718,2590455
2010-02-05,21.556730,21.783644,21.012140,21.057524,19.464960,2375416
2010-02-08,21.420584,22.010557,20.149872,21.057524,19.464960,4676817
2010-02-09,20.875992,21.193670,20.422167,21.148289,19.548864,4939794
2010-02-10,21.375200,21.602114,20.603697,21.193670,19.590811,2928262
2010-02-11,21.239054,22.055941,21.239054,21.919792,20.262018,4525551
2010-02-12,21.919792,22.555147,21.874411,21.919792,20.262018,1398507
2010-02-17,22.419001,22.782061,22.055941,22.146706,20.471771,1821283
2010-02-18,22.146706,23.281269,22.146706,22.600531,20.891275,2671661
2010-02-19,22.963593,22.963593,21.783644,22.192087,20.513718,1483689
2010-02-22,22.827444,22.963593,21.965176,22.419001,20.723473,2397800
2010-02-23,22.146706,23.190504,21.965176,22.963593,21.226879,3249349
2010-02-24,22.282852,22.600531,21.965176,22.464382,20.765421,6540826
2010-02-25,22.645914,22.872828,22.101322,22.192087,20.513718,2760428
2010-02-26,22.555147,22.691296,21.829027,22.010557,20.345919,3431404
2010-03-01,22.010557,22.237471,21.829027,22.146706,20.471771,4652939
2010-03-02,22.146706,22.645914,21.965176,22.237471,20.555672,3287733
2010-03-03,22.328236,22.419001,21.692879,21.874411,20.220068,3946818
2010-03-04,22.101322,22.146706,21.647497,21.874411,20.220068,4261378
2010-03-05,21.965176,22.691296,21.965176,22.691296,20.975176,3214348
2010-03-08,22.918209,23.598948,22.691296,23.553564,21.772228,4963888
2010-03-09,23.825861,23.825861,23.054358,23.462799,21.688330,3812271
2010-03-10,23.598948,24.188923,23.417418,24.052774,22.233686,4023789
2010-03-11,24.007391,24.279688,23.644331,24.098158,22.275637,1738726
2010-03-12,23.871244,24.234304,23.871244,24.052774,22.233686,1927940
2010-03-15,24.089989,24.279688,23.235888,23.462799,21.688330,2428466
2010-03-16,23.689713,23.871244,23.326653,23.735096,21.940033,1733827
2010-03-17,24.052774,24.551983,23.825861,24.461218,22.611238,3729644
2010-03-18,25.187340,25.232721,24.415834,25.051191,23.156593,7021816
2010-03-19,25.051191,26.775730,25.051191,26.412668,24.415100,9062833
2010-03-22,26.276522,26.684963,25.777313,26.548817,24.540956,7577318
2010-03-23,26.321903,26.321903,25.641165,25.822695,23.869749,6675582
2010-03-24,25.868078,26.276522,24.733513,24.915043,23.030741,7763267
2010-03-25,24.869661,26.231138,24.551983,26.094992,24.121452,2306367
2010-03-26,26.049608,26.503433,25.731930,26.185757,24.205355,3644201
2010-03-29,26.276522,26.321903,25.731930,25.777313,23.827797,1559816
2010-03-30,25.641165,26.276522,25.232721,26.231138,24.247299,4312952
2010-03-31,26.140373,26.140373,25.323486,25.550400,23.618046,1814668
2010-04-01,25.414251,25.868078,25.187340,25.686546,23.743895,1819347
2010-04-07,25.868078,26.321903,25.868078,26.231138,24.247299,3166432
2010-04-08,26.321903,27.138790,25.686546,26.957260,24.918507,3126016
2010-04-09,26.684963,26.730347,26.367287,26.503433,24.499002,1830542
2010-04-12,26.548817,26.775730,25.641165,25.822695,23.869749,2376044
2010-04-13,25.777313,25.958843,24.915043,25.368870,23.450245,5106072
2010-04-14,25.414251,25.686546,25.187340,25.595781,23.659994,2306985
2010-04-15,25.595781,26.412668,25.595781,26.140373,24.163397,3145447
2010-04-16,26.276522,26.276522,25.278105,25.686546,23.743895,2027929
2010-04-19,25.005808,25.278105,24.960426,25.141956,23.240492,1719545
2010-04-20,25.187340,25.822695,25.187340,25.641165,23.701946,1524966
2010-04-21,26.639582,26.639582,25.958843,26.231138,24.247299,4706631
2010-04-22,25.868078,26.412668,25.686546,26.276522,24.289253,2790580
2010-04-23,25.958843,26.503433,25.958843,26.503433,24.499002,2582450
2010-04-26,26.911877,28.500269,26.911877,28.273355,26.135065,8059153
2010-04-27,28.681799,28.999477,27.365704,27.774147,25.673615,3348638
2010-04-28,27.229555,27.774147,26.866495,27.229555,25.170208,2531600
2010-04-29,27.501850,27.547234,26.957260,27.093409,25.044359,1467249
2010-04-30,27.683380,27.683380,27.184174,27.365704,25.296061,2385240
2010-05-03,26.866495,27.411085,26.866495,27.320320,25.254110,963034
2010-05-04,27.320320,28.318739,27.320320,27.456469,25.379961,2250316
2010-05-05,27.320320,27.320320,25.958843,26.094992,24.121452,4535202
2010-05-06,26.866495,26.866495,23.825861,24.642748,22.779037,9088665
2010-05-07,23.508183,25.232721,23.508183,24.597364,22.737087,7122148
2010-05-10,24.597364,25.868078,24.597364,25.550400,23.618046,4111726
2010-05-11,25.595781,26.140373,24.506599,24.915043,23.216639,3460981
2010-05-12,26.140373,26.140373,24.279688,24.597364,22.920614,3456693
2010-05-13,24.915043,25.731930,24.506599,24.778896,23.089773,3728533
2010-05-14,24.506599,24.506599,23.508183,24.007391,22.370859,13049055
2010-05-17,23.598948,23.598948,22.645914,23.417418,21.821104,8645761
2010-05-18,23.103371,23.417418,22.691296,23.417418,21.821104,4245383
2010-05-19,23.328468,23.871244,22.509766,22.555147,21.017611,2970208
2010-05-20,22.736679,23.099739,21.057524,22.509766,20.975323,4176584
2010-05-24,23.117893,23.235888,22.055941,22.509766,20.975323,5595941
2010-05-25,21.783644,22.328236,20.921375,21.556730,20.087255,10986562
2010-05-26,20.921375,22.645914,20.921375,22.010557,20.510147,9101658
2010-05-27,22.419001,23.825861,21.829027,23.372034,21.778812,5708145
2010-05-28,23.780478,24.960426,23.780478,24.143539,22.497730,7243342
2010-05-31,24.143539,24.688129,23.598948,24.551983,22.878328,4048637
2010-06-01,24.506599,24.506599,23.417418,23.462799,21.863390,2213734
2010-06-02,23.780478,24.279688,23.417418,24.052774,22.413149,4852910
2010-06-03,24.597364,24.915043,23.871244,23.962009,22.328571,6035322
2010-06-04,24.325069,24.415834,23.689713,23.825861,22.201704,2881329
2010-06-07,23.145123,23.508183,22.872828,23.054358,21.482792,3899167
2010-06-08,23.099739,23.598948,22.918209,23.235888,21.651945,2187595
2010-06-09,23.508183,23.598948,22.918209,23.054358,21.482792,1328241
