Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,5.284615,5.315384,5.138461,5.176923,2.636184,168875807
2010-01-05,5.238461,5.238461,5.138461,5.215384,2.655769,267648274
2010-01-06,5.230769,5.353846,5.176923,5.246153,2.671437,216331326
2010-01-07,5.307692,5.307692,5.153846,5.161538,2.628350,188469145
2010-01-08,5.192307,5.200000,5.123076,5.138461,2.616599,141265399
2010-01-11,5.238461,5.292307,5.176923,5.192307,2.644018,181167400
2010-01-12,5.161538,5.323076,5.153846,5.238461,2.667520,166743703
2010-01-13,5.184615,5.246153,5.115384,5.123076,2.608764,210600763
2010-01-14,5.153846,5.192307,5.084615,5.100000,2.597013,144870511
2010-01-15,5.107692,5.123076,5.053846,5.069230,2.581345,185210949
2010-01-18,5.015384,5.092307,5.015384,5.038461,2.565677,83171563
2010-01-19,5.023076,5.130769,5.000000,5.123076,2.608764,136339762
2010-01-20,5.100000,5.100000,4.976923,5.023076,2.557843,195089433
2010-01-21,5.000000,5.053846,4.923076,4.938461,2.514755,130811821
2010-01-22,4.846153,4.915384,4.800000,4.876923,2.483419,203022232
2010-01-25,4.807692,4.869230,4.776923,4.838461,2.463833,94377064
2010-01-26,4.923076,4.923076,4.600000,4.676923,2.381575,226969706
2010-01-27,4.692307,4.800000,4.692307,4.738461,2.412911,156670073
2010-01-28,4.769230,4.800000,4.723076,4.784615,2.436413,114376834
2010-01-29,4.692307,4.738461,4.630769,4.700000,2.393327,119129254
2010-02-01,4.623076,4.753846,4.607692,4.715384,2.401160,110542970
2010-02-02,4.738461,4.792307,4.676923,4.761538,2.424663,100204397
2010-02-03,4.815384,4.823076,4.715384,4.792307,2.440331,157270235
2010-02-04,4.738461,4.761538,4.653846,4.684615,2.385492,124507385
2010-02-05,4.507692,4.538461,4.469230,4.500000,2.291483,201284968
2010-02-08,4.461538,4.500000,4.384615,4.415384,2.248395,130410608
2010-02-09,4.361538,4.553846,4.361538,4.484615,2.283648,103777284
2010-02-10,4.492307,4.538461,4.461538,4.500000,2.291483,114150852
2010-02-11,4.530769,4.607692,4.530769,4.600000,2.342404,89821737
2010-02-12,4.530769,4.638461,4.523076,4.553846,2.318902,144783384
2010-02-17,4.653846,4.684615,4.592307,4.615384,2.350238,71498376
2010-02-18,4.561538,4.623076,4.546153,4.561538,2.322819,38354316
2010-02-19,4.484615,4.553846,4.430769,4.438461,2.260146,81689370
2010-02-22,4.592307,4.600000,4.523076,4.546153,2.314985,66738350
2010-02-23,4.469230,4.623076,4.461538,4.584615,2.334570,95171440
2010-02-24,4.507692,4.569230,4.500000,4.523076,2.303233,103172283
2010-02-25,4.500000,4.576923,4.461538,4.500000,2.291483,104137053
2010-02-26,4.592307,4.723076,4.561538,4.684615,2.385492,238754178
2010-03-01,4.769230,4.792307,4.700000,4.730769,2.408994,163356360
2010-03-02,4.715384,4.730769,4.653846,4.669230,2.377658,176843802
2010-03-03,4.715384,4.753846,4.669230,4.738461,2.412911,96760530
2010-03-04,4.761538,4.776923,4.638461,4.684615,2.385492,159121727
