Date,Open,High,Low,Close,Adj Close,Volume
2013-12-12,0.943908,1.311535,0.834613,1.132689,0.870278,355345299
2013-12-13,1.162497,1.500316,1.122753,1.410894,1.084031,653667111
2013-12-16,1.420829,1.440701,1.241984,1.291663,0.992423,248436693
2013-12-17,1.321471,1.391022,1.311535,1.371150,1.053495,153605170
2013-12-18,1.381086,1.619547,1.361214,1.589739,1.221443,352232913
2013-12-19,1.599675,1.748713,1.460573,1.500316,1.152737,332085622
2013-12-20,1.520188,1.549996,1.410894,1.440701,1.106933,149481641
2013-12-23,1.460573,1.520188,1.381086,1.460573,1.122201,121199829
2013-12-24,1.460573,1.500316,1.440701,1.460573,1.122201,40748524
2013-12-27,1.470509,1.490381,1.420829,1.480445,1.137469,56050372
2013-12-30,1.480445,1.659290,1.450637,1.629483,1.251979,201540635
2013-12-31,1.639419,1.659290,1.569868,1.589739,1.221443,65252908
2014-01-02,1.609611,1.748713,1.579803,1.728842,1.328320,199217504
2014-01-03,1.699034,1.828200,1.679162,1.718906,1.320686,177730771
2014-01-06,1.748713,1.798393,1.649355,1.659290,1.274881,160245841
2014-01-07,1.679162,1.718906,1.619547,1.659290,1.274881,95895387
2014-01-08,1.699034,1.778521,1.679162,1.738777,1.335953,140034714
2014-01-09,1.748713,1.917623,1.738777,1.848072,1.419928,248047811
2014-01-10,1.828200,1.897751,1.768585,1.798393,1.381758,113801018
2014-01-13,1.828200,1.838136,1.748713,1.768585,1.358856,59430557
2014-01-14,1.738777,1.858008,1.718906,1.798393,1.381758,102323752
2014-01-15,1.828200,1.828200,1.728842,1.728842,1.328320,101405660
2014-01-16,1.748713,1.768585,1.679162,1.708970,1.313051,62676208
2014-01-17,1.689098,1.718906,1.659290,1.689098,1.297783,60860715
2014-01-20,1.689098,1.748713,1.679162,1.708970,1.313051,38329794
2014-01-21,1.708970,1.768585,1.689098,1.699034,1.305418,41208727
2014-01-22,1.728842,1.728842,1.609611,1.639419,1.259614,51412845
2014-01-23,1.639419,1.649355,1.589739,1.609611,1.236711,33580434
2014-01-24,1.589739,1.629483,1.470509,1.520188,1.168005,53534582
