Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,87.150002,87.349998,85.0,85.099998,63.431438,13779779
2016-01-05,84.699997,85.300003,82.599998,82.900002,61.791594999999994,22421659
2016-01-06,83.199997,83.699997,82.25,82.5,61.493458,18656152
2016-01-07,82.0,82.449997,80.25,80.400002,59.928177000000005,0
2016-01-08,80.949997,83.050003,80.849998,82.050003,61.158039,16918183
2016-01-11,79.849998,82.0,79.0,80.599998,60.07724399999999,25653429
2016-01-12,80.550003,81.0,79.400002,79.650002,59.36914399999999,19894714
2016-01-13,81.150002,82.75,80.699997,81.599998,60.822609,17800805
2016-01-14,79.699997,81.699997,79.699997,81.300003,60.599003,14482409
2016-01-15,81.050003,81.5,80.349998,80.449997,59.965435,14343769
2016-01-18,79.449997,80.650002,79.0,80.099998,59.70454399999999,14590699
2016-01-19,80.0,83.150002,80.0,82.800003,61.717068000000005,21020852
2016-01-20,81.0,81.699997,79.849998,80.0,59.630019999999995,20828932
2016-01-21,80.099998,81.5,79.050003,80.0,59.630019999999995,24730721
2016-01-22,82.050003,83.0,81.599998,82.650002,61.60525500000001,18776113
2016-01-25,84.0,85.650002,83.550003,83.75,62.425171,13767951
2016-01-26,83.599998,83.949997,82.150002,82.300003,61.344379,19358932
2016-01-27,84.400002,84.400002,82.300003,83.699997,62.38790899999999,12063486
2016-01-28,83.349998,84.949997,83.199997,84.699997,63.133281999999994,16108298
2016-01-29,84.5,86.0,83.550003,85.699997,63.878662,22572633
2016-02-01,85.199997,85.849998,84.400002,85.5,63.729572,15011086
2016-02-02,85.099998,86.900002,84.400002,85.75,63.915916,15034067
2016-02-03,83.599998,86.550003,83.25,85.75,63.915916,18636748
2016-02-04,86.150002,86.400002,85.0,85.650002,63.841384999999995,12754311
2016-02-05,85.75,85.800003,84.5,84.599998,63.05874300000001,10180501
2016-02-11,80.75,83.5,80.599998,82.0,61.120766,19961960
2016-02-12,81.0,83.150002,80.949997,82.199997,61.26984,14386441
2016-02-15,83.449997,83.449997,82.300003,83.099998,61.940684999999995,11178636
2016-02-16,83.5,83.849998,82.900002,83.5,62.238827,8815400
2016-02-17,84.0,84.150002,82.849998,83.0,61.866138,10407385
2016-02-18,84.699997,84.800003,83.400002,84.449997,62.94693,17202264
2016-02-19,84.0,84.449997,83.5,84.349998,62.872406000000005,11271120
2016-02-22,84.949997,85.5,84.599998,84.949997,63.319626,12364625
2016-02-23,85.25,85.25,84.099998,84.699997,63.133281999999994,8382179
2016-02-24,84.050003,85.050003,83.650002,84.099998,62.68605,8655437
2016-02-25,83.800003,84.099998,82.75,83.050003,61.903408,11302198
2016-02-26,83.900002,84.75,83.5,84.449997,62.94693,9781031
2016-02-29,84.599998,84.75,81.900002,82.199997,61.26984,14132302
2016-03-01,83.25,83.699997,82.650002,83.650002,62.350632,10990340
2016-03-02,84.900002,85.400002,83.550003,85.25,63.543236,20359130
2016-03-03,85.300003,85.400002,84.300003,85.050003,63.394161,11655386
2016-03-04,86.0,86.0,85.050003,85.699997,63.878662,11413483
2016-03-07,86.550003,86.550003,83.900002,84.650002,63.096004,15004409
2016-03-08,84.699997,84.949997,83.699997,84.800003,63.207817000000006,11457250
2016-03-09,84.449997,85.300003,84.300003,85.150002,63.4687,9564590
2016-03-10,84.75,85.400002,84.199997,85.050003,63.394161,9588707
2016-03-11,85.400002,85.849998,84.599998,85.5,63.729572,8177027
2016-03-14,86.5,86.5,85.800003,86.150002,64.21408100000001,10043473
2016-03-15,85.0,85.699997,84.849998,85.5,63.729572,9303761
2016-03-16,85.900002,86.75,85.800003,86.349998,64.36314399999999,9266899
2016-03-17,86.75,87.300003,84.0,84.550003,63.021468999999996,24929983
2016-03-18,84.5,85.25,83.849998,85.099998,63.431438,22671910
2016-03-21,85.199997,85.300003,84.0,84.400002,62.909659999999995,16718538
2016-03-22,85.199997,85.199997,83.5,83.800003,62.462437,17544038
2016-03-23,84.0,84.349998,83.449997,83.800003,62.462437,14155523
2016-03-24,84.0,84.5,83.099998,83.300003,62.08976,12846859
2016-03-29,84.400002,84.5,83.449997,83.949997,62.574245,16346285
2016-03-30,84.400002,85.400002,84.199997,84.900002,63.28235600000001,16110836
2016-03-31,84.75,86.599998,84.75,86.449997,64.437691,21484736
2016-04-01,86.0,86.0,85.150002,85.650002,63.841384999999995,13473386
2016-04-05,85.75,85.800003,84.300003,85.0,63.356892,16591313
2016-04-06,85.300003,85.75,84.75,84.900002,63.28235600000001,12577595
2016-04-07,85.050003,86.400002,85.050003,86.25,64.288605,12457558
2016-04-08,85.0,86.5,84.75,86.349998,64.36314399999999,12222294
2016-04-11,85.449997,86.5,85.25,85.75,63.915916,10244279
2016-04-12,85.050003,86.050003,85.050003,85.949997,64.064987,7671243
