Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,11.56,11.56,11.22,11.28,8.99968,6048640
2016-01-05,11.1,11.54,10.94,11.1,8.856069,5437970
2016-01-06,11.1,11.32,11.1,11.24,8.967765,3659993
2016-01-07,11.1,11.14,10.62,10.74,8.568844,4440268
2016-01-08,10.8,10.84,10.52,10.64,8.489059,3916726
2016-01-11,10.38,10.38,10.08,10.26,8.185878,3892484
2016-01-12,10.34,10.52,10.22,10.28,8.201835,4919500
2016-01-13,10.3,10.52,10.3,10.4,8.297575,3617405
2016-01-14,10.2,10.38,10.14,10.3,8.217792999999999,3172661
2016-01-15,10.3,10.38,10.04,10.1,8.058224000000001,3860290
2016-01-18,10.0,10.12,9.88,10.08,8.042268,2619000
2016-01-19,10.02,10.24,9.92,10.16,8.106093,5367755
2016-01-20,10.2,10.26,9.68,9.86,7.866741,5915066
2016-01-21,9.9,9.9,9.28,9.41,7.507712,5680000
2016-01-22,9.89,9.89,9.5,9.65,7.699194,4007800
2016-01-25,9.74,9.75,9.6,9.69,7.731107000000001,2318100
2016-01-26,10.08,10.08,9.36,9.48,7.563560000000001,5056668
2016-01-27,9.95,9.95,9.46,9.55,7.61941,4688000
2016-01-28,9.6,9.65,9.47,9.6,7.659302,6163000
2016-01-29,9.55,9.92,9.55,9.86,7.866741,3720285
2016-02-01,9.83,9.88,9.58,9.79,7.810892,4183895
2016-02-02,9.77,9.77,9.51,9.52,7.595475,5351553
2016-02-03,9.37,9.43,9.26,9.34,7.451864,6197371
2016-02-04,9.45,9.51,9.37,9.39,7.491753999999999,2211037
2016-02-05,9.35,9.54,9.35,9.49,7.571539,3034500
2016-02-11,9.35,9.4,8.98,9.24,7.372077,3164500
2016-02-12,9.14,9.23,9.02,9.09,7.252402,2087410
2016-02-15,9.2,9.38,9.15,9.28,7.403991,3396463
2016-02-16,9.28,9.54,9.14,9.42,7.515691,2305600
2016-02-17,9.5,9.78,9.32,9.41,7.507712,2780099
2016-02-18,9.52,9.57,9.32,9.48,7.563560000000001,3597299
2016-02-19,9.56,9.61,9.44,9.6,7.659302,1527089
2016-02-22,9.55,9.76,9.54,9.56,7.627388000000001,1674100
2016-02-23,9.57,9.57,9.41,9.5,7.579517999999999,1661622
2016-02-24,9.5,9.52,9.37,9.5,7.579517999999999,2634000
2016-02-25,9.44,9.44,9.34,9.41,7.507712,2770124
2016-02-26,9.51,9.6,9.43,9.55,7.61941,1443081
2016-02-29,9.65,9.83,9.5,9.55,7.61941,3178176
2016-03-01,9.65,10.04,9.59,9.91,7.9066339999999995,2539500
2016-03-02,10.4,10.6,10.36,10.4,8.297575,7444838
2016-03-03,10.36,10.48,10.14,10.42,8.313533999999999,5744500
2016-03-04,10.5,10.6,10.38,10.54,8.409275,2458344
2016-03-07,10.7,11.08,10.54,10.86,8.664585,6626182
2016-03-08,10.76,10.76,10.4,10.54,8.409275,4210752
2016-03-09,10.4,10.4,10.12,10.24,8.169921,8879500
2016-03-10,10.3,10.48,10.2,10.26,8.185878,2294239
2016-03-11,10.2,10.6,9.94,10.58,8.441189,4191444
2016-03-14,10.98,11.0,10.72,10.98,8.760326,4728632
2016-03-15,11.08,11.08,10.68,10.84,8.648628,4101000
2016-03-16,10.76,10.84,10.4,10.56,8.425231,4663500
2016-03-17,10.76,10.86,10.22,10.56,8.425231,4531708
2016-03-18,10.62,10.9,10.62,10.8,8.616715,7015002
2016-03-21,10.98,10.98,10.7,10.8,8.616715,4012500
