Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,12.42,12.66,12.4,12.46,11.907086,12826499
2016-01-05,12.42,12.58,12.34,12.52,11.964424000000001,8519584
2016-01-06,12.44,12.62,12.34,12.34,11.792411,8709479
2016-01-07,12.34,12.48,11.88,12.06,11.524837,14328800
2016-01-08,12.1,12.16,11.68,11.82,11.295486,10409299
2016-01-11,11.42,11.6,11.18,11.3,10.798561,14585595
2016-01-12,11.36,11.68,11.32,11.5,10.989686,11429330
2016-01-13,11.72,11.8,11.4,11.48,10.970572,13421308
2016-01-14,11.04,11.48,11.04,11.28,10.779448,11945002
2016-01-15,11.18,11.2,10.66,10.84,10.358974,17713679
2016-01-18,10.8,11.0,10.74,10.8,10.320749000000001,7946689
2016-01-19,10.8,11.44,10.8,11.42,10.913238,14529338
2016-01-20,11.34,11.34,11.12,11.2,10.702999,22931333
2016-01-21,11.64,11.64,10.84,10.86,10.378085,12988084
2016-01-22,11.0,11.08,10.74,10.96,10.473649,13007261
2016-01-25,11.16,11.38,11.06,11.08,10.588324,8750364
2016-01-26,10.82,10.98,10.58,10.66,10.186960000000001,18624358
2016-01-27,10.78,10.84,10.5,10.6,10.129624,10906083
2016-01-28,10.66,10.76,10.5,10.74,10.263411999999999,7822545
2016-01-29,10.64,10.86,10.6,10.74,10.263411999999999,12211781
2016-02-01,10.74,11.22,10.68,11.16,10.664773,13120687
2016-02-02,11.06,11.56,11.06,11.52,11.0088,8728243
2016-02-03,11.48,11.48,10.76,11.02,10.530987,9777895
2016-02-04,11.18,11.48,11.14,11.38,10.875011,7513637
2016-02-05,11.24,11.56,11.24,11.44,10.932349,5817107
2016-02-11,11.18,11.22,10.98,11.02,10.530987,8922484
2016-02-12,10.82,11.4,10.82,11.18,10.683887,7769509
2016-02-15,11.46,11.82,11.34,11.78,11.257261,8570350
2016-02-16,11.94,11.98,11.46,11.58,11.066136,12258183
2016-02-17,11.56,11.8,11.56,11.7,11.180811,9527762
2016-02-18,11.96,11.96,11.7,11.82,11.295486,13984287
2016-02-19,11.68,11.78,11.54,11.7,11.180811,9990220
2016-02-22,11.96,11.96,11.76,11.88,11.352822999999999,5770785
2016-02-23,11.96,11.96,11.6,11.7,11.180811,10527675
2016-02-24,11.7,11.7,11.2,11.38,10.875011,15306787
2016-02-25,11.34,11.38,11.0,11.06,10.569211,15694805
2016-02-26,11.24,11.42,11.1,11.4,10.894124,16705446
2016-02-29,11.38,11.64,11.1,11.18,10.683887,9266155
2016-03-01,11.1,11.28,11.02,11.08,10.588324,17127427
2016-03-02,11.4,11.4,11.12,11.3,10.798561,20033952
2016-03-03,11.2,11.24,10.92,10.96,10.473649,19395120
2016-03-04,10.86,10.98,10.78,10.98,10.49276,18732531
2016-03-07,11.1,11.28,11.06,11.28,10.779448,14914772
2016-03-08,11.22,11.24,11.0,11.02,10.530987,17676586
2016-03-09,10.96,11.08,10.86,10.9,10.416310000000001,10908077
2016-03-10,10.84,11.08,10.8,10.82,10.339862,8322783
2016-03-11,10.8,11.0,10.78,10.96,10.473649,5705594
2016-03-14,11.0,11.16,10.9,10.92,10.435424000000001,7772323
2016-03-15,10.96,10.96,10.82,10.84,10.358974,6996515
2016-03-16,10.9,10.96,10.72,10.8,10.320749000000001,7219453
