Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,5.14,5.19,4.96,5.02,4.062684,90690163
2016-01-05,4.98,5.08,4.92,4.94,3.997939,89338403
2016-01-06,4.9,4.96,4.86,4.88,3.949382,105238274
2016-01-07,4.79,4.84,4.55,4.56,3.690405,191534517
2016-01-08,4.64,4.74,4.58,4.68,3.787521,101248371
2016-01-11,4.5,4.52,4.43,4.45,3.6013830000000002,117610210
2016-01-12,4.48,4.51,4.35,4.39,3.552825,95630712
2016-01-13,4.48,4.58,4.4,4.45,3.6013830000000002,93243553
2016-01-14,4.3,4.51,4.24,4.48,3.625661,81892924
2016-01-15,4.46,4.51,4.36,4.38,3.5447319999999998,81283111
2016-01-18,4.31,4.43,4.26,4.29,3.4718949999999995,104558967
2016-01-19,4.39,4.52,4.3,4.5,3.6418470000000003,86412872
2016-01-20,4.34,4.37,4.16,4.23,3.423337,118223547
2016-01-21,4.29,4.38,4.17,4.18,3.3828709999999997,95021165
2016-01-22,4.38,4.56,4.31,4.51,3.64994,142392126
2016-01-25,4.62,4.77,4.59,4.64,3.755149,134119083
2016-01-26,4.45,4.48,4.35,4.37,3.536638,92097434
2016-01-27,4.55,4.6,4.44,4.51,3.64994,79605664
2016-01-28,4.59,4.61,4.47,4.56,3.690405,83453598
2016-01-29,4.55,4.8,4.55,4.75,3.8441730000000005,149042916
2016-02-01,4.69,4.73,4.55,4.61,3.730871,109586485
2016-02-02,4.54,4.6,4.5,4.57,3.698499,58448935
2016-02-03,4.26,4.39,4.26,4.38,3.5447319999999998,111669893
2016-02-04,4.61,4.69,4.55,4.61,3.730871,99389792
2016-02-05,4.63,4.72,4.61,4.71,3.8118,66217655
2016-02-11,4.38,4.48,4.35,4.47,3.617568,67952675
2016-02-12,4.45,4.62,4.44,4.5,3.6418470000000003,67795141
2016-02-15,4.61,4.69,4.59,4.67,3.779429,92044719
2016-02-16,4.74,5.04,4.71,4.97,4.022218,218884230
2016-02-17,4.86,4.94,4.76,4.82,3.9008230000000004,125791144
2016-02-18,5.1,5.11,5.03,5.11,4.13552,144886847
2016-02-19,4.97,5.12,4.97,5.09,4.1193349999999995,94379760
2016-02-22,5.07,5.13,5.03,5.11,4.13552,66075003
2016-02-23,5.2,5.22,5.09,5.18,4.192171,77383796
