Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,42.599998,42.75,40.599998,40.849998,35.403168,45114145
2016-01-05,40.5,41.200001,39.900002,40.400002,35.013172,48037712
2016-01-06,40.049999,40.400002,39.5,40.099998,34.753166,34880806
2016-01-07,39.5,39.599998,37.299999,37.950001,32.889854,74388997
2016-01-08,38.200001,38.599998,37.650002,38.0,32.933182,58023171
2016-01-11,36.700001,36.950001,36.200001,36.349998,31.503189000000003,52673127
2016-01-12,36.900002,37.099998,35.5,35.650002,30.896523,52476338
2016-01-13,36.5,37.400002,36.0,36.150002,31.329865,41216282
2016-01-14,35.5,36.5,35.0,36.299999,31.459858,46651390
2016-01-15,36.299999,36.549999,35.0,35.099998,30.419863,41228385
2016-01-18,34.799999,35.349998,34.299999,34.700001,30.073196000000003,34274001
2016-01-19,34.900002,36.650002,34.849998,36.549999,31.676521,45020678
2016-01-20,35.950001,36.099998,34.200001,35.049999,30.376532,61650073
2016-01-21,35.799999,35.799999,33.549999,33.549999,29.076538,67450697
2016-01-22,34.5,34.950001,33.849998,34.700001,30.073196000000003,54035830
2016-01-25,35.099998,35.450001,34.950001,35.150002,30.463198,27927965
2016-01-26,34.549999,34.799999,33.599998,33.950001,29.423199,44828274
2016-01-27,34.25,34.5,33.299999,33.799999,29.293197999999997,54783064
2016-01-28,33.799999,34.599998,33.700001,34.150002,29.596531,34371122
2016-01-29,33.849998,35.200001,33.849998,34.950001,30.289859999999997,46855547
2016-02-01,35.099998,35.299999,33.950001,34.200001,29.639864000000003,38681086
2016-02-02,34.099998,34.599998,33.799999,34.049999,29.509863,26498651
2016-02-03,32.75,33.200001,32.400002,32.950001,28.556540000000002,56072619
2016-02-04,33.25,33.700001,33.099998,33.299999,28.859865000000003,31907050
2016-02-05,33.5,34.400002,33.349998,33.849998,29.336534999999998,22666571
2016-02-11,31.4,32.099998,31.4,31.950001,27.689873,55576329
2016-02-12,31.299999,31.799999,30.5,30.6,26.519878000000002,57333287
2016-02-15,31.450001,33.0,31.35,32.549999,28.209872999999998,53927103
2016-02-16,32.799999,34.150002,32.650002,33.650002,29.163202000000002,43497409
2016-02-17,33.950001,34.150002,32.700001,32.849998,28.46987,38509401
2016-02-18,34.0,34.849998,33.900002,34.150002,29.596531,45179288
2016-02-19,33.700001,34.150002,33.599998,33.799999,29.293197999999997,25693183
2016-02-22,34.299999,34.75,34.150002,34.5,29.899862,26960185
2016-02-23,34.5,34.650002,33.700001,34.049999,29.509863,27781205
2016-02-24,33.650002,34.0,32.900002,33.349998,28.903198,28170068
2016-02-25,33.299999,33.349998,32.25,32.349998,28.036537,30205483
2016-02-26,32.950001,33.5,32.75,33.400002,28.946537,24961247
2016-02-29,33.200001,33.650002,32.400002,32.900002,28.513203000000004,22013943
2016-03-01,33.349998,33.349998,32.299999,33.200001,28.773207,36108686
2016-03-02,34.0,34.950001,33.799999,34.5,29.899862,53690702
2016-03-03,34.75,35.0,33.950001,34.599998,29.986528000000003,35558724
