Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,4.3,4.38,4.17,4.26,3.478305,13262721
2016-01-05,4.38,4.6,4.32,4.4,3.5926160000000005,32433625
2016-01-06,4.43,4.47,4.31,4.38,3.576286,10994509
2016-01-07,4.4,4.4,4.21,4.3,3.5109660000000003,19201223
2016-01-08,4.3,4.31,4.14,4.25,3.4701400000000002,16917999
2016-01-11,4.3,4.3,4.16,4.26,3.478305,12751044
2016-01-12,4.33,4.37,4.3,4.31,3.519131,15819810
2016-01-13,4.35,4.38,4.2,4.27,3.4864699999999997,22155933
2016-01-14,4.26,4.26,4.15,4.23,3.45381,11100403
2016-01-15,4.22,4.28,4.16,4.23,3.45381,25725254
2016-01-18,4.2,4.28,4.08,4.14,3.380324,28479366
2016-01-19,4.15,4.23,4.11,4.21,3.4374800000000003,10117000
2016-01-20,4.22,4.26,4.16,4.21,3.4374800000000003,20781795
2016-01-21,4.26,4.39,4.16,4.23,3.45381,16158577
2016-01-22,4.3,4.3,4.19,4.24,3.461975,28766388
2016-01-25,4.3,4.44,4.28,4.4,3.5926160000000005,14689967
2016-01-26,4.4,4.4,4.34,4.38,3.576286,9660960
2016-01-27,4.35,4.42,4.26,4.33,3.53546,20811522
2016-01-28,4.3,4.4,4.29,4.32,3.5272959999999998,15252089
2016-01-29,4.31,4.46,4.3,4.42,3.608946,28882224
2016-02-01,4.38,4.45,4.32,4.4,3.5926160000000005,27602222
2016-02-02,4.39,4.46,4.39,4.43,3.61711,17013153
2016-02-03,4.33,4.39,4.32,4.35,3.55179,19818390
2016-02-04,4.4,4.4,4.26,4.29,3.5028,18173254
2016-02-05,4.29,4.38,4.26,4.3,3.5109660000000003,17987650
2016-02-11,4.19,4.4,4.11,4.28,3.4946349999999997,26017075
2016-02-12,4.2,4.29,4.1,4.24,3.461975,12345447
2016-02-15,4.29,4.35,4.25,4.29,3.5028,15902132
2016-02-16,4.29,4.31,4.22,4.24,3.461975,11927750
2016-02-17,4.25,4.44,4.24,4.32,3.5272959999999998,13266672
2016-02-18,4.36,4.52,4.36,4.4,3.5926160000000005,22937620
2016-02-19,4.36,4.5,4.35,4.43,3.61711,16143390
2016-02-22,4.4,4.64,4.39,4.55,3.715091,35311062
2016-02-23,4.55,4.65,4.53,4.54,3.706926,16922000
2016-02-24,4.55,4.62,4.49,4.53,3.698761,11855460
2016-02-25,4.6,4.6,4.49,4.53,3.698761,14960760
2016-02-26,4.53,4.55,4.43,4.49,3.6661010000000003,13503882
2016-02-29,4.45,4.61,4.44,4.52,3.690597,16142054
2016-03-01,4.52,4.64,4.52,4.55,3.715091,10780945
2016-03-02,4.57,4.7,4.54,4.67,3.813072,22518502
2016-03-03,4.78,4.88,4.73,4.85,3.9600419999999996,17994472
2016-03-04,4.85,4.98,4.83,4.97,4.058023,17811933
2016-03-07,4.97,4.99,4.83,4.88,3.9845370000000004,22271182
2016-03-08,4.89,5.0,4.89,4.94,4.033528,17118297
2016-03-09,4.95,5.16,4.94,5.03,4.107012999999999,35499091
2016-03-10,5.06,5.06,4.98,5.0,4.082517,17646517
2016-03-11,5.0,5.04,4.96,5.0,4.082517,7999463
2016-03-14,5.04,5.04,4.86,4.98,4.066187,14240385
2016-03-15,4.92,5.04,4.92,4.97,4.058023,15449953
2016-03-16,5.05,5.05,4.89,5.03,4.107012999999999,10835302
2016-03-17,4.98,5.02,4.94,4.96,4.049858,26925628
2016-03-18,5.02,5.2,5.01,5.11,4.172333999999999,32014147
2016-03-21,5.1,5.23,5.06,5.12,4.180498,16835356
2016-03-22,5.12,5.18,4.99,5.04,4.115178,16676546
2016-03-23,5.08,5.08,5.01,5.05,4.123343,10862706
2016-03-24,5.09,5.12,4.93,5.01,4.090683,16561800
2016-03-29,5.09,5.24,5.04,5.17,4.221323,16107238
2016-03-30,5.42,5.65,5.42,5.62,4.58875,75827398
2016-03-31,5.67,5.89,5.56,5.62,4.58875,52724213
2016-04-01,5.7,5.75,5.53,5.56,4.53976,33725460
2016-04-05,5.8,5.87,5.68,5.87,4.792876000000001,69382415
2016-04-06,5.9,6.03,5.85,5.97,4.874526,58763300
2016-04-07,6.1,6.1,5.81,5.92,4.8337010000000005,41820932
2016-04-08,5.85,5.85,5.76,5.82,4.752051,36561215
2016-04-11,5.82,5.97,5.75,5.83,4.760216000000001,25654286
2016-04-12,5.81,5.97,5.81,5.91,4.8255360000000005,31656674
2016-04-13,5.96,6.03,5.95,5.99,4.890855999999999,42301863
2016-04-14,6.07,6.07,5.67,5.76,4.703061,35285000
2016-04-15,5.77,5.94,5.76,5.91,4.8255360000000005,29493018
2016-04-18,5.94,5.97,5.88,5.9,4.817371,17286436
2016-04-19,5.98,5.98,5.89,5.96,4.8663620000000005,11218101
2016-04-20,6.0,6.05,5.84,6.01,4.907187,38400719
2016-04-21,6.05,6.19,6.04,6.18,5.045992,39711473
2016-04-22,6.11,6.3,6.1,6.2,5.062322,39249150
2016-04-25,6.12,6.2,6.05,6.13,5.005167,28080502
2016-04-26,6.15,6.42,6.15,6.34,5.176633,59200674
2016-04-27,6.31,6.39,6.3,6.34,5.176633,36352562
2016-04-28,6.34,6.36,6.08,6.14,5.013332,36503438
2016-04-29,6.22,6.29,6.12,6.28,5.127643,25181185
2016-05-03,6.4,6.45,6.12,6.2,5.062322,38847255
2016-05-04,6.1,6.14,5.96,6.04,4.931682,52358135
2016-05-05,6.09,6.09,5.87,5.9,4.817371,46161902
2016-05-06,5.86,5.92,5.76,5.82,4.752051,34202001
2016-05-09,5.98,5.99,5.84,5.92,4.8337010000000005,13832001
2016-05-10,5.87,6.04,5.85,6.04,4.931682,36047459
2016-05-11,6.1,6.1,6.01,6.05,4.939847,29724499
2016-05-12,6.05,6.13,6.02,6.1,4.980671,40865933
2016-05-13,6.1,6.14,6.0,6.05,4.939847,28478070
2016-05-16,6.08,6.12,6.07,6.12,4.997001999999999,23854147
2016-05-17,6.12,6.19,6.11,6.14,5.013332,19401000
2016-05-18,6.05,6.18,6.05,6.18,5.045992,21383798
2016-05-19,6.12,6.18,5.93,6.0,4.899022,19263082
